,city,date,moonphase,sunrise,sunset
335,Atlanta,2023-06-29,0.38,06:29:53,20:52:13
336,Atlanta,2023-06-30,0.41,06:30:16,20:52:13
337,Atlanta,2023-07-01,0.44,06:30:41,20:52:11
338,Atlanta,2023-07-02,0.47,06:31:06,20:52:07
339,Atlanta,2023-07-03,0.5,06:31:33,20:52:02
340,Atlanta,2023-07-04,0.54,06:32:00,20:51:55
341,Atlanta,2023-07-05,0.58,06:32:29,20:51:47
342,Atlanta,2023-07-06,0.61,06:32:58,20:51:37
343,Atlanta,2023-07-07,0.65,06:33:29,20:51:25
344,Atlanta,2023-07-08,0.68,06:34:00,20:51:12
345,Atlanta,2023-07-09,0.75,06:34:32,20:50:57
346,Atlanta,2023-07-10,0.75,06:35:05,20:50:41
347,Atlanta,2023-07-11,0.79,06:35:39,20:50:23
348,Atlanta,2023-07-12,0.82,06:36:13,20:50:03
349,Atlanta,2023-07-13,0.86,06:36:48,20:49:42
350,Atlanta,2023-07-14,0.89,06:37:24,20:49:19
351,Atlanta,2023-07-15,0.93,06:38:01,20:48:54
352,Atlanta,2023-07-16,0.96,06:38:38,20:48:28
353,Atlanta,2023-07-17,0.0,06:39:15,20:48:00
354,Atlanta,2023-07-18,0.03,06:39:53,20:47:31
355,Atlanta,2023-07-19,0.06,06:40:32,20:47:00
356,Atlanta,2023-07-20,0.1,06:41:11,20:46:28
357,Atlanta,2023-07-21,0.13,06:41:51,20:45:54
358,Atlanta,2023-07-22,0.16,06:42:31,20:45:18
359,Atlanta,2023-07-23,0.2,06:43:11,20:44:41
360,Atlanta,2023-07-24,0.23,06:43:52,20:44:03
361,Atlanta,2023-07-25,0.25,06:44:32,20:43:23
362,Atlanta,2023-07-26,0.3,06:45:14,20:42:41
363,Atlanta,2023-07-27,0.33,06:45:55,20:41:59
364,Atlanta,2023-07-28,0.36,06:46:37,20:41:14
365,Atlanta,2023-07-29,0.4,06:47:19,20:40:29
366,Atlanta,2023-07-30,0.43,06:48:01,20:39:41
367,Atlanta,2023-07-31,0.46,06:48:43,20:38:53
368,Miami,2023-05-01,0.37,06:44:11,19:52:02
369,Miami,2023-05-02,0.4,06:43:26,19:52:33
370,Miami,2023-05-03,0.43,06:42:42,19:53:05
371,Miami,2023-05-04,0.47,06:41:59,19:53:36
372,Miami,2023-05-05,0.5,06:41:17,19:54:07
373,Miami,2023-05-06,0.53,06:40:36,19:54:39
374,Miami,2023-05-07,0.57,06:39:56,19:55:11
375,Miami,2023-05-08,0.61,06:39:17,19:55:43
376,Miami,2023-05-09,0.64,06:38:39,19:56:14
377,Miami,2023-05-10,0.68,06:38:02,19:56:46
378,Miami,2023-05-11,0.71,06:37:26,19:57:18
379,Miami,2023-05-12,0.75,06:36:52,19:57:50
380,Miami,2023-05-13,0.78,06:36:18,19:58:22
381,Miami,2023-05-14,0.82,06:35:46,19:58:54
382,Miami,2023-05-15,0.86,06:35:15,19:59:26
383,Miami,2023-05-16,0.89,06:34:45,19:59:58
384,Miami,2023-05-17,0.93,06:34:16,20:00:30
385,Miami,2023-05-18,0.96,06:33:48,20:01:01
386,Miami,2023-05-19,0.0,06:33:22,20:01:33
387,Miami,2023-05-20,0.03,06:32:56,20:02:04
388,Miami,2023-05-21,0.06,06:32:32,20:02:36
389,Miami,2023-05-22,0.1,06:32:10,20:03:07
390,Miami,2023-05-23,0.13,06:31:48,20:03:38
391,Miami,2023-05-24,0.16,06:31:28,20:04:09
392,Miami,2023-05-25,0.19,06:31:08,20:04:39
393,Miami,2023-05-26,0.23,06:30:51,20:05:09
394,Miami,2023-05-27,0.25,06:30:34,20:05:39
395,Miami,2023-05-28,0.29,06:30:18,20:06:09
396,Miami,2023-05-29,0.32,06:30:04,20:06:38
397,Miami,2023-05-30,0.36,06:29:51,20:07:07
398,Miami,2023-05-31,0.39,06:29:40,20:07:35
399,Miami,2023-06-01,0.42,06:29:29,20:08:03
400,Miami,2023-06-02,0.45,06:29:20,20:08:31
401,Miami,2023-06-03,0.5,06:29:12,20:08:58
402,Miami,2023-06-04,0.52,06:29:06,20:09:24
403,Miami,2023-06-05,0.55,06:29:00,20:09:50
404,Miami,2023-06-06,0.59,06:28:56,20:10:16
405,Miami,2023-06-07,0.63,06:28:53,20:10:40
406,Miami,2023-06-08,0.66,06:28:51,20:11:05
407,Miami,2023-06-09,0.7,06:28:51,20:11:28
408,Miami,2023-06-10,0.75,06:28:51,20:11:51
409,Miami,2023-06-11,0.77,06:28:53,20:12:13
410,Miami,2023-06-12,0.8,06:28:56,20:12:34
411,Miami,2023-06-13,0.84,06:29:00,20:12:54
412,Miami,2023-06-14,0.87,06:29:05,20:13:14
413,Miami,2023-06-15,0.91,06:29:11,20:13:33
414,Miami,2023-06-16,0.95,06:29:18,20:13:51
415,Miami,2023-06-17,0.98,06:29:27,20:14:08
416,Miami,2023-06-18,0.0,06:29:36,20:14:24
417,Miami,2023-06-19,0.05,06:29:46,20:14:39
418,Miami,2023-06-20,0.08,06:29:58,20:14:53
419,Miami,2023-06-21,0.11,06:30:10,20:15:06
420,Miami,2023-06-22,0.15,06:30:23,20:15:19
