,city,date,precipitation,precipitation_type,severe_risk
361,Atlanta,7/25/23,0,,30
362,Atlanta,7/26/23,0,,30
363,Atlanta,7/27/23,0,,30
364,Atlanta,7/28/23,0.056,['rain'],30
365,Atlanta,7/29/23,0,,60
366,Atlanta,7/30/23,0.021,['rain'],30
367,Atlanta,7/31/23,0,,30
368,Miami,5/1/23,0,,10
369,Miami,5/2/23,0,,10
370,Miami,5/3/23,0,,60
371,Miami,5/4/23,0,,10
372,Miami,5/5/23,0,,10
373,Miami,5/6/23,0.192,['rain'],30
374,Miami,5/7/23,0.133,['rain'],30
375,Miami,5/8/23,0,,10
376,Miami,5/9/23,0,,30
377,Miami,5/10/23,0,,30
378,Miami,5/11/23,0,,30
379,Miami,5/12/23,0,,60
380,Miami,5/13/23,0.009,['rain'],60
381,Miami,5/14/23,0.012,['rain'],60
382,Miami,5/15/23,0.354,['rain'],60
383,Miami,5/16/23,0,,30
384,Miami,5/17/23,0.334,['rain'],60
385,Miami,5/18/23,0.038,['rain'],60
386,Miami,5/19/23,0.453,['rain'],60
387,Miami,5/20/23,0.228,['rain'],60
388,Miami,5/21/23,0.988,['rain'],30
389,Miami,5/22/23,0.163,['rain'],30
390,Miami,5/23/23,0.502,['rain'],60
391,Miami,5/24/23,0.97,['rain'],75
392,Miami,5/25/23,0.523,['rain'],60
393,Miami,5/26/23,0.316,['rain'],60
394,Miami,5/27/23,0.01,['rain'],60
395,Miami,5/28/23,0,,60
396,Miami,5/29/23,0,,60
397,Miami,5/30/23,0.698,['rain'],60
398,Miami,5/31/23,0.066,['rain'],60
399,Miami,6/1/23,0.133,['rain'],60
400,Miami,6/2/23,0.427,['rain'],30
401,Miami,6/3/23,0.389,['rain'],60
402,Miami,6/4/23,0.069,['rain'],60
403,Miami,6/5/23,0.233,['rain'],60
404,Miami,6/6/23,0.047,['rain'],30
405,Miami,6/7/23,0.169,['rain'],60
406,Miami,6/8/23,0.789,['rain'],60
407,Miami,6/9/23,0.045,['rain'],75
408,Miami,6/10/23,0.292,['rain'],75
409,Miami,6/11/23,0.222,['rain'],75
410,Miami,6/12/23,0.476,['rain'],75
411,Miami,6/13/23,0.004,['rain'],100
412,Miami,6/14/23,0.006,['rain'],100
413,Miami,6/15/23,0,,75
414,Miami,6/16/23,0.016,['rain'],100
415,Miami,6/17/23,0.31,['rain'],100
416,Miami,6/18/23,0.143,['rain'],75
417,Miami,6/19/23,2.006,['rain'],100
418,Miami,6/20/23,0.555,['rain'],75
419,Miami,6/21/23,0.022,['rain'],75
420,Miami,6/22/23,0.069,['rain'],100
421,Miami,6/23/23,0,,100
422,Miami,6/24/23,0.315,['rain'],75
423,Miami,6/25/23,0.82,['rain'],75
424,Miami,6/26/23,0.263,['rain'],75
