,city,latitude,longitude,date,wind_direction,wind_speed,wind_gust
256,Los Angeles,34.0536,-118.245,2023-07-12,250.8,6.4,19.7
257,Los Angeles,34.0536,-118.245,2023-07-13,244.8,12.7,19.7
258,Los Angeles,34.0536,-118.245,2023-07-14,243.3,5.5,18.3
259,Los Angeles,34.0536,-118.245,2023-07-15,241.5,9.7,13.9
260,Los Angeles,34.0536,-118.245,2023-07-16,230.9,8.7,19.7
261,Los Angeles,34.0536,-118.245,2023-07-17,248.3,12.5,21.9
262,Los Angeles,34.0536,-118.245,2023-07-18,244.8,7.0,18.3
263,Los Angeles,34.0536,-118.245,2023-07-19,249.9,8.4,20.8
264,Los Angeles,34.0536,-118.245,2023-07-20,245.1,7.9,20.8
265,Los Angeles,34.0536,-118.245,2023-07-21,242.5,6.4,23.0
266,Los Angeles,34.0536,-118.245,2023-07-22,235.5,7.2,16.1
267,Los Angeles,34.0536,-118.245,2023-07-23,232.4,9.2,21.9
268,Los Angeles,34.0536,-118.245,2023-07-24,246.7,10.7,19.7
269,Los Angeles,34.0536,-118.245,2023-07-25,253.4,7.7,17.2
270,Los Angeles,34.0536,-118.245,2023-07-26,241.8,7.5,16.1
271,Los Angeles,34.0536,-118.245,2023-07-27,246.8,10.0,16.1
272,Los Angeles,34.0536,-118.245,2023-07-28,235.6,12.0,18.3
273,Los Angeles,34.0536,-118.245,2023-07-29,244.0,12.2,17.2
274,Los Angeles,34.0536,-118.245,2023-07-30,198.1,7.7,15.0
275,Los Angeles,34.0536,-118.245,2023-07-31,219.4,6.0,30.0
276,Atlanta,33.7483,-84.3911,2023-05-01,266.4,18.9,35.3
277,Atlanta,33.7483,-84.3911,2023-05-02,275.8,22.2,38.6
278,Atlanta,33.7483,-84.3911,2023-05-03,303.5,21.3,32.0
279,Atlanta,33.7483,-84.3911,2023-05-04,318.5,8.9,18.3
280,Atlanta,33.7483,-84.3911,2023-05-05,74.5,7.0,10.3
281,Atlanta,33.7483,-84.3911,2023-05-06,104.7,9.3,20.8
282,Atlanta,33.7483,-84.3911,2023-05-07,215.3,8.2,12.8
283,Atlanta,33.7483,-84.3911,2023-05-08,280.7,12.2,23.0
284,Atlanta,33.7483,-84.3911,2023-05-09,266.7,13.2,28.0
285,Atlanta,33.7483,-84.3911,2023-05-10,75.9,9.6,16.1
286,Atlanta,33.7483,-84.3911,2023-05-11,111.9,11.5,20.3
287,Atlanta,33.7483,-84.3911,2023-05-12,131.6,6.2,12.8
288,Atlanta,33.7483,-84.3911,2023-05-13,328.3,8.0,9.2
289,Atlanta,33.7483,-84.3911,2023-05-14,339.4,11.4,29.8
290,Atlanta,33.7483,-84.3911,2023-05-15,80.4,10.3,13.9
291,Atlanta,33.7483,-84.3911,2023-05-16,239.6,20.2,46.1
292,Atlanta,33.7483,-84.3911,2023-05-17,290.6,8.2,17.2
293,Atlanta,33.7483,-84.3911,2023-05-18,79.4,16.7,32.7
294,Atlanta,33.7483,-84.3911,2023-05-19,92.8,12.7,26.9
295,Atlanta,33.7483,-84.3911,2023-05-20,169.8,7.9,10.3
296,Atlanta,33.7483,-84.3911,2023-05-21,37.8,9.2,21.9
297,Atlanta,33.7483,-84.3911,2023-05-22,75.9,13.8,24.2
298,Atlanta,33.7483,-84.3911,2023-05-23,69.1,14.9,24.2
299,Atlanta,33.7483,-84.3911,2023-05-24,60.4,13.0,20.8
300,Atlanta,33.7483,-84.3911,2023-05-25,66.4,13.9,26.0
301,Atlanta,33.7483,-84.3911,2023-05-26,74.2,16.1,25.6
302,Atlanta,33.7483,-84.3911,2023-05-27,62.7,18.2,34.8
303,Atlanta,33.7483,-84.3911,2023-05-28,356.7,11.5,22.0
304,Atlanta,33.7483,-84.3911,2023-05-29,311.8,11.4,19.7
305,Atlanta,33.7483,-84.3911,2023-05-30,65.3,12.6,19.7
306,Atlanta,33.7483,-84.3911,2023-05-31,79.0,14.5,33.3
307,Atlanta,33.7483,-84.3911,2023-06-01,62.2,8.7,19.7
308,Atlanta,33.7483,-84.3911,2023-06-02,51.6,11.5,20.8
309,Atlanta,33.7483,-84.3911,2023-06-03,48.1,12.7,21.7
310,Atlanta,33.7483,-84.3911,2023-06-04,52.6,10.9,32.2
311,Atlanta,33.7483,-84.3911,2023-06-05,135.6,5.8,10.3
312,Atlanta,33.7483,-84.3911,2023-06-06,283.8,12.3,37.8
313,Atlanta,33.7483,-84.3911,2023-06-07,294.7,12.8,21.8
314,Atlanta,33.7483,-84.3911,2023-06-08,329.9,12.9,24.7
315,Atlanta,33.7483,-84.3911,2023-06-09,8.0,10.0,19.7
316,Atlanta,33.7483,-84.3911,2023-06-10,172.7,6.7,11.4
317,Atlanta,33.7483,-84.3911,2023-06-11,184.5,11.8,36.0
318,Atlanta,33.7483,-84.3911,2023-06-12,280.4,14.5,24.8
319,Atlanta,33.7483,-84.3911,2023-06-13,285.8,13.1,24.2
320,Atlanta,33.7483,-84.3911,2023-06-14,219.9,11.0,20.8
321,Atlanta,33.7483,-84.3911,2023-06-15,230.1,11.4,19.7
322,Atlanta,33.7483,-84.3911,2023-06-16,281.6,13.5,21.9
323,Atlanta,33.7483,-84.3911,2023-06-17,320.6,7.8,19.7
324,Atlanta,33.7483,-84.3911,2023-06-18,179.4,8.7,17.2
325,Atlanta,33.7483,-84.3911,2023-06-19,182.1,12.8,33.3
326,Atlanta,33.7483,-84.3911,2023-06-20,274.0,8.0,29.8
327,Atlanta,33.7483,-84.3911,2023-06-21,68.2,16.4,25.9
328,Atlanta,33.7483,-84.3911,2023-06-22,42.2,12.1,23.0
329,Atlanta,33.7483,-84.3911,2023-06-23,313.5,12.1,29.8
330,Atlanta,33.7483,-84.3911,2023-06-24,310.6,11.5,20.9
331,Atlanta,33.7483,-84.3911,2023-06-25,280.5,17.5,54.5
332,Atlanta,33.7483,-84.3911,2023-06-26,251.2,13.3,22.4
333,Atlanta,33.7483,-84.3911,2023-06-27,289.1,15.6,24.1
334,Atlanta,33.7483,-84.3911,2023-06-28,338.3,10.0,21.3
335,Atlanta,33.7483,-84.3911,2023-06-29,331.6,9.9,9.2
336,Atlanta,33.7483,-84.3911,2023-06-30,330.2,18.6,36.9
337,Atlanta,33.7483,-84.3911,2023-07-01,336.5,17.2,32.8
